Rue Doumier   133,house,house,259000,for sale,3,1,0,0,1,0,220m2,160m2,2,0,
Lekestraat   7,house,house,265000,for sale,3,1,0,0,1,0,170m2,129m2,nu,0,as new
Langenakker   27,house,house,269000,for sale,3,1,0,0,0,1,334m2,162m2,3,0,good
Plassendale   15,house,house,270000,for sale,3,1,0,0,1,1,240m2,185m2,nu,0,to renovate
Louis Thibautstraat   33,house,house,275000,for sale,4,1,0,0,0,0,115m2,200m2,nu,0,to renovate
Pastoriestraat   2,house,house,275000,for sale,4,1,0,0,0,1,819m2,nullm2,nu,0,good
"Spermaliestraat   302,",house,house,275000,for sale,3,1,0,0,1,0,172m2,235m2,2,0,good
Weidestraat   16,house,town house,279000,for sale,3,1,0,0,1,1,163m2,140m2,2,0,good
Weidestraat   16,house,town house,279000,for sale,3,1,0,0,1,1,163m2,140m2,2,0,good
7700    —        Mouscron      |,house,house,285000,for sale,3,1,0,0,1,1,242m2,100m2,3,0,
Werkenstraat   15,house,house,285000,for sale,4,1,0,0,1,1,241m2,180m2,2,0,just renovated
Larenbroekstraat   24,house,house,285000,for sale,4,1,0,0,0,1,398m2,272m2,3,0,to be done up
Op de Bekker   4,house,house,297000,for sale,5,1,0,0,0,0,661m2,nullm2,4,0,good
Beauduinstraat   1,house,mixed use building,299000,for sale,0,1,0,0,0,0,0m2,nullm2,2,0,good
Boeslinter   9,house,house,299000,for sale,4,1,0,0,1,1,1952m2,300m2,3,0,to renovate
Chemin d'Yves-Gomezée   37,house,house,299000,for sale,3,1,0,0,0,0,981m2,198m2,nu,0,to be done up
Pontstraat   14,house,mixed use building,299000,for sale,6,1,0,0,1,1,220m2,280m2,2,0,good
Keiberg   18,house,house,299000,for sale,3,1,0,0,0,0,960m2,180m2,nu,0,to renovate
Klein-Brabant   23,house,house,299000,for sale,4,1,0,0,1,1,160m2,135m2,2,0,good
Ingooigemstraat   3,house,house,299900,for sale,4,1,0,0,0,0,103m2,167m2,2,0,
2880    —        Bornem      |,house,villa,300000,for sale,3,1,0,1,0,1,820m2,216m2,4,0,
6150    —        Anderlues      |,house,house,300000,for sale,3,1,0,0,1,1,4480m2,250m2,4,0,good
Marie-Josélaan   33,house,house,300000,for sale,5,1,0,0,0,1,0m2,159m2,nu,0,as new
Jagershoek   101,house,house,310000,for sale,3,1,0,0,1,1,407m2,231m2,3,0,as new
Oct de Kerchove d'Exaerdestraat   107,house,house,315000,for sale,3,1,0,0,0,0,84m2,142m2,nu,0,good
1300    —        Wavre      |,house,house,325000,for sale,5,0,0,1,0,0,715m2,160m2,4,0,to renovate
"Astridvest   23,",house,house,325000,for sale,3,1,0,0,0,1,102m2,207m2,2,0,as new
Rue Emile Vandervelde   97,house,house,325000,for sale,4,1,0,0,1,1,1885m2,208m2,4,0,just renovated
Laaglandlaan   251,house,house,329000,for sale,3,1,1,0,1,0,30m2,143m2,2,0,just renovated
Stierstraat   51,house,house,335000,for sale,3,1,0,0,0,1,581m2,220m2,nu,0,as new
Kruisstraat   104,house,house,349000,for sale,2,1,0,0,0,0,3445m2,nullm2,nu,0,good
Piannesbergstraat   16,house,villa,349000,for sale,4,1,0,0,0,0,900m2,200m2,nu,0,to be done up
Merestraat   24,house,house,349000,for sale,3,1,0,0,0,1,107m2,125m2,3,0,as new
"Tiensesteenweg   151,",house,house,355000,for sale,3,1,0,0,1,1,949m2,199m2,4,0,good
Zandbergenplein   15          Box 15,house,house,355000,for sale,3,1,0,0,1,1,148m2,148m2,3,0,as new
Vervoortplaats   13,house,house,359000,for sale,3,1,0,0,1,1,285m2,190m2,2,0,as new
"Knapenstraat   28,",house,house,359000,for sale,3,1,0,0,0,0,539m2,152m2,3,0,good
Brugsesteenweg   292,house,house,360000,for sale,4,1,0,1,1,1,412m2,278m2,3,0,as new
Lange Dijkstraat   xx,house,house,365000,for sale,3,1,0,0,1,1,163m2,140m2,2,0,
Vierboomstraat   16,house,house,365000,for sale,3,1,0,0,0,0,252m2,160m2,,0,
Pauwenlaan   4,house,apartment block,367000,for sale,4,1,0,0,0,1,111m2,150m2,2,0,good
Ramselsesteenweg,house,house,369000,for sale,3,1,0,1,0,0,1132m2,189m2,4,0,good
Acaciastraat   18,house,house,369000,for sale,4,1,0,0,1,1,173m2,174m2,2,0,as new
Dorpsstraat   66,house,house,379000,for sale,5,1,0,1,1,1,661m2,250m2,4,0,as new
Rue du Laekenveld   20,house,mixed use building,380000,for sale,2,0,0,0,0,1,0m2,300m2,2,0,to renovate
Gentbruggestraat   42,house,house,380000,for sale,4,1,0,0,0,1,110m2,221m2,2,0,as new
Gapenberg   4,house,house,389000,for sale,4,1,0,0,0,0,430m2,223m2,4,0,just renovated
Rue des Quatre-Vents   103,house,house,395000,for sale,4,1,0,0,0,1,0m2,200m2,nu,0,good
Sint-Hubertusstraat   97,house,villa,398000,for sale,3,1,0,0,1,1,640m2,270m2,4,0,good
Korte Kongostraat   12,house,house,399000,for sale,3,1,0,1,1,0,120m2,200m2,1,0,just renovated
"Hermelijnstraat   5,",house,house,399000,for sale,4,1,0,0,1,1,277m2,120m2,3,0,good
"Vrijlatenstraat   13,",house,bungalow,399000,for sale,3,1,1,0,0,0,811m2,151m2,4,0,good
Kleine Hoezekouter   4,house,house,399000,for sale,4,1,0,0,0,1,450m2,200m2,nu,0,to be done up
"Gentseweg   426,",house,villa,399900,for sale,3,1,0,0,0,1,1764m2,nullm2,4,0,to renovate
